date_reg,type,maker,model,colour,fuel,state
2025-01-02,jip,CHERY,OMODA 5,grey,petrol,Rakan Niaga
2025-01-02,jip,CHERY,OMODA 5,green,electric,Rakan Niaga
2025-01-02,jip,CHERY,OMODA 9,black,petrol,Rakan Niaga
2025-01-02,jip,CHERY,OMODA 9,white,petrol,Perak
2025-01-02,jip,CHERY,TIGGO,black,petrol,Rakan Niaga
2025-01-02,motokar,DONG FENG,BOX E3,blue,electric,Rakan Niaga
2025-01-02,motokar,DONG FENG,BOX E3,purple,electric,W.P. Kuala Lumpur
2025-01-02,motokar,DONG FENG,BOX E3,green,electric,Rakan Niaga
2025-01-02,motokar,DONG FENG,BOX E3,green,electric,W.P. Kuala Lumpur
2025-01-02,pick_up,FORD,RANGER,yellow,greendiesel,Rakan Niaga
2025-01-02,pick_up,FORD,RANGER,black,greendiesel,Rakan Niaga
2025-01-02,pick_up,FORD,RANGER,white,greendiesel,Rakan Niaga
2025-01-02,pick_up,FORD,RANGER,grey,greendiesel,Rakan Niaga
2025-01-02,pick_up,FORD,RANGER,black,petrol,W.P. Kuala Lumpur
2025-01-02,pick_up,FORD,RANGER,white,greendiesel,W.P. Kuala Lumpur
2025-01-02,pick_up,FORD,RANGER,white,greendiesel,Sabah
2025-01-02,pick_up,FORD,RANGER,black,petrol,Rakan Niaga
2025-01-02,jip,GAC,GS3,grey,petrol,Rakan Niaga
2025-01-02,jip,GAC,GS3,black,petrol,Rakan Niaga
2025-01-02,jip,GAC,GS3,grey,petrol,W.P. Kuala Lumpur
2025-01-02,jip,GREAT WALL,HAVAL H6,green,hybrid_petrol,W.P. Kuala Lumpur
2025-01-02,jip,GREAT WALL,HAVAL H6,black,hybrid_petrol,Rakan Niaga
2025-01-02,jip,GREAT WALL,TANK 300,white,petrol,Johor
2025-01-02,jip,GREAT WALL,TANK 300,black,petrol,Sabah
2025-01-02,motokar,HONDA,CIVIC,white,petrol,Selangor
2025-01-02,motokar,HONDA,CIVIC,blue,petrol,Selangor
2025-01-02,motokar,HONDA,CIVIC,white,petrol,Rakan Niaga
2025-01-02,window_van,HONDA,STEPWGN,black,petrol,Rakan Niaga
2025-01-02,window_van,HONDA,STEPWGN,white,petrol,Rakan Niaga
2025-01-02,window_van,HONDA,STEPWGN,white,petrol,W.P. Kuala Lumpur
2025-01-02,window_van,HONDA,STEPWGN,grey,petrol,Rakan Niaga
2025-01-02,motokar,HONDA,WR-V,white,petrol,Rakan Niaga
2025-01-02,motokar,HONDA,WR-V,red,petrol,Selangor
2025-01-02,window_van,HYUNDAI,STARIA,black,diesel,Rakan Niaga
2025-01-02,pick_up,ISUZU,D-MAX,white,greendiesel,Rakan Niaga
2025-01-02,pick_up,ISUZU,D-MAX,silver,greendiesel,Rakan Niaga
2025-01-02,pick_up,ISUZU,D-MAX,blue,greendiesel,Rakan Niaga
2025-01-02,pick_up,ISUZU,D-MAX,grey,greendiesel,Rakan Niaga
2025-01-02,pick_up,ISUZU,D-MAX,black,greendiesel,Rakan Niaga
2025-01-02,jip,JEEP,WRANGLER,black,petrol,W.P. Kuala Lumpur
2025-01-02,window_van,KIA,CARNIVAL,blue,diesel,Johor
2025-01-02,jip,LAMBORGHINI,URUS,yellow,petrol,Sarawak
2025-01-02,jip,LAND ROVER,DEFENDER,brown,diesel,W.P. Kuala Lumpur
2025-01-02,jip,LAND ROVER,DEFENDER,black,petrol,W.P. Kuala Lumpur
2025-01-02,jip,LAND ROVER,DEFENDER,silver,petrol,W.P. Kuala Lumpur
2025-01-02,jip,LAND ROVER,DISCOVERY,blue,petrol,Rakan Niaga
2025-01-02,jip,LAND ROVER,RANGE ROVER VELAR,black,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,LEXUS,IS,grey,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,LEXUS,IS,grey,petrol,Rakan Niaga
2025-01-02,motokar,LEXUS,IS,white,petrol,W.P. Kuala Lumpur
2025-01-02,jip,LEXUS,LX,black,petrol,Sarawak
2025-01-02,jip,LEXUS,LX,white,petrol,W.P. Kuala Lumpur
2025-01-02,jip,LEXUS,LX,white,petrol,Sarawak
2025-01-02,jip,LEXUS,RX,white,petrol,Johor
2025-01-02,jip,LEXUS,RX,white,petrol,W.P. Kuala Lumpur
2025-01-02,jip,LEXUS,RX,black,petrol,Rakan Niaga
2025-01-02,jip,LEXUS,RX,white,petrol,Pulau Pinang
2025-01-02,jip,LEXUS,RX,black,petrol,Melaka
2025-01-02,jip,LEXUS,RX,white,petrol,Rakan Niaga
2025-01-02,jip,LEXUS,RX,black,petrol,W.P. Kuala Lumpur
2025-01-02,jip,LEXUS,RX,black,petrol,Johor
2025-01-02,motokar,MG,MG4,white,electric,Rakan Niaga
2025-01-02,motokar,MG,MG5,white,petrol,Perlis
2025-01-02,motokar,MG,MG5,yellow,petrol,Rakan Niaga
2025-01-02,motokar,MG,MG5,yellow,petrol,Pulau Pinang
2025-01-02,motokar,MG,MG5,black,petrol,Rakan Niaga
2025-01-02,motokar,MAZDA,CX-30,grey,petrol,Rakan Niaga
2025-01-02,motokar,MAZDA,CX-30,red,petrol,Rakan Niaga
2025-01-02,motokar,MAZDA,CX-30,blue,petrol,Rakan Niaga
2025-01-02,motokar,MAZDA,CX-30,white,petrol,Rakan Niaga
2025-01-02,jip,MAZDA,CX-5,grey,petrol,Rakan Niaga
2025-01-02,jip,MAZDA,CX-5,gold,petrol,Rakan Niaga
2025-01-02,jip,MAZDA,CX-5,red,petrol,Rakan Niaga
2025-01-02,jip,MAZDA,CX-5,blue,petrol,Rakan Niaga
2025-01-02,jip,MAZDA,CX-8,grey,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,MAZDA,MX-5,silver,petrol,Rakan Niaga
2025-01-02,motokar,MERCEDES BENZ,A-CLASS,grey,petrol,Negeri Sembilan
2025-01-02,motokar,MERCEDES BENZ,A-CLASS,black,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,MERCEDES BENZ,A-CLASS,silver,petrol,Rakan Niaga
2025-01-02,motokar,MERCEDES BENZ,A-CLASS,white,petrol,Negeri Sembilan
2025-01-02,motokar,MERCEDES BENZ,A-CLASS,white,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,MERCEDES BENZ,A-CLASS,silver,petrol,Selangor
2025-01-02,motokar,MERCEDES BENZ,A-CLASS,black,petrol,Rakan Niaga
2025-01-02,motokar,MERCEDES BENZ,B-CLASS,red,petrol,Rakan Niaga
2025-01-02,motokar,MERCEDES BENZ,C-CLASS,grey,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,MERCEDES BENZ,C-CLASS,blue,hybrid_petrol,Rakan Niaga
2025-01-02,motokar,MERCEDES BENZ,CLA,black,petrol,Rakan Niaga
2025-01-02,motokar,MERCEDES BENZ,CLA,beige,petrol,Rakan Niaga
2025-01-02,motokar,MERCEDES BENZ,CLA,grey,petrol,Rakan Niaga
2025-01-02,motokar,MERCEDES BENZ,E-CLASS,black,hybrid_petrol,Rakan Niaga
2025-01-02,motokar,MERCEDES BENZ,E-CLASS,white,hybrid_petrol,Rakan Niaga
2025-01-02,motokar,MERCEDES BENZ,E-CLASS,blue,petrol,Rakan Niaga
2025-01-02,motokar,MERCEDES BENZ,E-CLASS,grey,hybrid_petrol,Rakan Niaga
2025-01-02,motokar,MERCEDES BENZ,E-CLASS,grey,hybrid_petrol,W.P. Kuala Lumpur
2025-01-02,motokar,MERCEDES BENZ,E-CLASS,grey,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,MERCEDES BENZ,E-CLASS,white,petrol,Rakan Niaga
2025-01-02,jip,MERCEDES BENZ,EQA,pink,electric,W.P. Kuala Lumpur
2025-01-02,jip,MERCEDES BENZ,EQS,silver,electric,Selangor
2025-01-02,jip,MERCEDES BENZ,GLA,black,hybrid_petrol,Sabah
2025-01-02,jip,MERCEDES BENZ,GLC,silver,petrol,Rakan Niaga
2025-01-02,jip,MERCEDES BENZ,GLC,white,petrol,W.P. Kuala Lumpur
2025-01-02,jip,MERCEDES BENZ,GLC,black,hybrid_petrol,W.P. Kuala Lumpur
2025-01-02,jip,MERCEDES BENZ,GLC,white,hybrid_petrol,Rakan Niaga
2025-01-02,jip,MERCEDES BENZ,GLC,black,petrol,Sarawak
2025-01-02,motokar,MINI,JOHN COOPER WORKS,green,petrol,Selangor
2025-01-02,pick_up,MITSUBISHI,TRITON,black,greendiesel,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,MITSUBISHI,XPANDER,grey,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,MITSUBISHI,XPANDER,red,petrol,Rakan Niaga
2025-01-02,motokar,NISSAN,ALMERA,grey,petrol,Rakan Niaga
2025-01-02,window_van,NISSAN,ELGRAND,white,petrol,W.P. Kuala Lumpur
2025-01-02,window_van,NISSAN,SERENA,black,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,PERODUA,ALZA,brown,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,PERODUA,ALZA,red,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,PERODUA,ALZA,black,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,PERODUA,ALZA,brown,petrol,Pulau Pinang
2025-01-02,motokar_pelbagai_utiliti,PERODUA,ALZA,black,petrol,Selangor
2025-01-02,jip,PERODUA,ARUZ,black,petrol,Rakan Niaga
2025-01-02,motokar,PERODUA,AXIA,silver,petrol,Rakan Niaga
2025-01-02,motokar,PERODUA,AXIA,blue,petrol,Rakan Niaga
2025-01-02,motokar,PERODUA,AXIA,white,petrol,Rakan Niaga
2025-01-02,motokar,PERODUA,AXIA,grey,petrol,Rakan Niaga
2025-01-02,motokar,PERODUA,BEZZA,silver,petrol,Rakan Niaga
2025-01-02,motokar,PERODUA,BEZZA,red,petrol,Rakan Niaga
2025-01-02,motokar,PERODUA,BEZZA,grey,petrol,Rakan Niaga
2025-01-02,motokar,PERODUA,MYVI,grey,petrol,Rakan Niaga
2025-01-02,motokar,PERODUA,MYVI,white,petrol,Rakan Niaga
2025-01-02,motokar,PERODUA,MYVI,silver,petrol,Pahang
2025-01-02,motokar,PERODUA,MYVI,red,petrol,Rakan Niaga
2025-01-02,motokar,PERODUA,MYVI,grey,petrol,Kedah
2025-01-02,jip,PEUGEOT,3008,grey,petrol,Rakan Niaga
2025-01-02,jip,PEUGEOT,408,blue,petrol,Rakan Niaga
2025-01-02,pick_up,PEUGEOT,LANDTREK,white,diesel,Rakan Niaga
2025-01-02,motokar,PORSCHE,911 CARRERA,grey,petrol,Johor
2025-01-02,motokar,PORSCHE,911 GT3,yellow,petrol,W.P. Kuala Lumpur
2025-01-02,jip,PORSCHE,CAYENNE,orange,petrol,Selangor
2025-01-02,jip,PORSCHE,CAYENNE,black,petrol,Johor
2025-01-02,jip,PORSCHE,CAYENNE,blue,petrol,Sarawak
2025-01-02,jip,PORSCHE,MACAN,white,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,IRIZ,silver,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,IRIZ,red,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,PERSONA,grey,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,PERSONA,maroon,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,PERSONA,silver,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,PERSONA,grey,petrol,Kedah
2025-01-02,motokar,PROTON,S70,blue,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,S70,green,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,S70,black,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,PROTON,S70,grey,petrol,Selangor
2025-01-02,motokar,PROTON,S70,black,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,S70,grey,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,SAGA,silver,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,SAGA,white,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,SAGA,grey,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,SAGA,red,petrol,Rakan Niaga
2025-01-02,motokar,PROTON,SAGA,maroon,petrol,Rakan Niaga
2025-01-02,jip,PROTON,X50,grey,petrol,Rakan Niaga
2025-01-02,jip,PROTON,X50,silver,petrol,W.P. Kuala Lumpur
2025-01-02,jip,PROTON,X50,white,petrol,W.P. Kuala Lumpur
2025-01-02,jip,PROTON,X70,grey,petrol,W.P. Kuala Lumpur
2025-01-02,jip,PROTON,X70,blue,petrol,Rakan Niaga
2025-01-02,jip,PROTON,X90,white,petrol,Selangor
2025-01-02,jip,PROTON,X90,grey,petrol,Rakan Niaga
2025-01-02,motokar,SUBARU,BRZ,blue,petrol,Selangor
2025-01-02,motokar,SUBARU,BRZ,silver,petrol,W.P. Kuala Lumpur
2025-01-02,jip,SUBARU,FORESTER,black,petrol,Rakan Niaga
2025-01-02,jip,SUZUKI,JIMNY,grey,petrol,W.P. Kuala Lumpur
2025-01-02,jip,SUZUKI,JIMNY SIERRA,grey,petrol,Rakan Niaga
2025-01-02,jip,SUZUKI,JIMNY SIERRA,grey,petrol,Selangor
2025-01-02,jip,SUZUKI,JIMNY SIERRA,green,petrol,Rakan Niaga
2025-01-02,motokar,SUZUKI,SWIFT,grey,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,SUZUKI,SWIFT,black,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,TESLA,MODEL 3,white,electric,Rakan Niaga
2025-01-02,motokar,TESLA,MODEL 3,red,electric,W.P. Kuala Lumpur
2025-01-02,motokar,TOYOTA,86,grey,petrol,Rakan Niaga
2025-01-02,motokar,TOYOTA,86,white,petrol,W.P. Kuala Lumpur
2025-01-02,window_van,TOYOTA,ALPHARD,white,petrol,Selangor
2025-01-02,window_van,TOYOTA,ALPHARD,white,petrol,W.P. Kuala Lumpur
2025-01-02,window_van,TOYOTA,ALPHARD,black,petrol,Rakan Niaga
2025-01-02,window_van,TOYOTA,ALPHARD,black,petrol,Melaka
2025-01-02,window_van,TOYOTA,ALPHARD,white,petrol,Sarawak
2025-01-02,window_van,TOYOTA,ALPHARD,white,petrol,Rakan Niaga
2025-01-02,window_van,TOYOTA,ALPHARD,white,petrol,Melaka
2025-01-02,window_van,TOYOTA,ALPHARD,black,petrol,Perak
2025-01-02,window_van,TOYOTA,ALPHARD,black,petrol,Selangor
2025-01-02,window_van,TOYOTA,ALPHARD,brown,petrol,Rakan Niaga
2025-01-02,window_van,TOYOTA,ALPHARD,black,petrol,W.P. Kuala Lumpur
2025-01-02,window_van,TOYOTA,ALPHARD,white,petrol,Johor
2025-01-02,window_van,TOYOTA,ALPHARD,black,petrol,Johor
2025-01-02,window_van,TOYOTA,ALPHARD,white,petrol,Perak
2025-01-02,window_van,TOYOTA,ALPHARD,white,petrol,Pulau Pinang
2025-01-02,window_van,TOYOTA,ALPHARD,black,petrol,Sarawak
2025-01-02,window_van,TOYOTA,ALPHARD,white,petrol,Sabah
2025-01-02,motokar,TOYOTA,C-HR,black,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,TOYOTA,C-HR,red,petrol,W.P. Kuala Lumpur
2025-01-02,jip,TOYOTA,COROLLA CROSS,red,petrol,Rakan Niaga
2025-01-02,jip,TOYOTA,COROLLA CROSS,grey,hybrid_petrol,Rakan Niaga
2025-01-02,jip,TOYOTA,COROLLA CROSS,silver,petrol,Rakan Niaga
2025-01-02,jip,TOYOTA,COROLLA CROSS,red,petrol,W.P. Kuala Lumpur
2025-01-02,jip,TOYOTA,COROLLA CROSS,white,petrol,Rakan Niaga
2025-01-02,jip,TOYOTA,COROLLA CROSS,white,hybrid_petrol,Rakan Niaga
2025-01-02,jip,TOYOTA,COROLLA CROSS,white,petrol,Perak
2025-01-02,jip,TOYOTA,COROLLA CROSS,blue,hybrid_petrol,Rakan Niaga
2025-01-02,window_van,TOYOTA,ESTIMA,black,petrol,W.P. Kuala Lumpur
2025-01-02,jip,TOYOTA,FORTUNER,white,greendiesel,Rakan Niaga
2025-01-02,jip,TOYOTA,FORTUNER,black,greendiesel,Rakan Niaga
2025-01-02,jip,TOYOTA,FORTUNER,brown,greendiesel,Rakan Niaga
2025-01-02,jip,TOYOTA,HARRIER,white,petrol,Johor
2025-01-02,jip,TOYOTA,HARRIER,black,petrol,Rakan Niaga
2025-01-02,jip,TOYOTA,HARRIER,white,petrol,Melaka
2025-01-02,jip,TOYOTA,HARRIER,black,petrol,Selangor
2025-01-02,jip,TOYOTA,HARRIER,white,petrol,W.P. Kuala Lumpur
2025-01-02,jip,TOYOTA,HARRIER,black,petrol,Pulau Pinang
2025-01-02,jip,TOYOTA,HARRIER,black,petrol,Perak
2025-01-02,jip,TOYOTA,HARRIER,white,petrol,Rakan Niaga
2025-01-02,jip,TOYOTA,HARRIER,black,petrol,Melaka
2025-01-02,jip,TOYOTA,HARRIER,white,petrol,Selangor
2025-01-02,window_van,TOYOTA,HIACE,white,greendiesel,Rakan Niaga
2025-01-02,window_van,TOYOTA,HIACE,white,greendiesel,W.P. Kuala Lumpur
2025-01-02,pick_up,TOYOTA,HILUX,white,greendiesel,Johor
2025-01-02,pick_up,TOYOTA,HILUX,black,greendiesel,Sabah
2025-01-02,pick_up,TOYOTA,HILUX,white,greendiesel,Sabah
2025-01-02,pick_up,TOYOTA,HILUX,silver,greendiesel,Johor
2025-01-02,pick_up,TOYOTA,HILUX,maroon,greendiesel,Sabah
2025-01-02,pick_up,TOYOTA,HILUX,white,greendiesel,W.P. Kuala Lumpur
2025-01-02,pick_up,TOYOTA,HILUX,brown,greendiesel,W.P. Kuala Lumpur
2025-01-02,pick_up,TOYOTA,HILUX,black,greendiesel,W.P. Kuala Lumpur
2025-01-02,pick_up,TOYOTA,HILUX,brown,greendiesel,Selangor
2025-01-02,pick_up,TOYOTA,HILUX,black,greendiesel,Selangor
2025-01-02,pick_up,TOYOTA,HILUX,brown,greendiesel,Sabah
2025-01-02,pick_up,TOYOTA,HILUX,silver,greendiesel,Pahang
2025-01-02,pick_up,TOYOTA,HILUX,black,greendiesel,Sarawak
2025-01-02,pick_up,TOYOTA,HILUX,brown,greendiesel,Kedah
2025-01-02,pick_up,TOYOTA,HILUX,white,greendiesel,Kelantan
2025-01-02,pick_up,TOYOTA,HILUX,silver,greendiesel,Selangor
2025-01-02,pick_up,TOYOTA,HILUX,red,greendiesel,Selangor
2025-01-02,pick_up,TOYOTA,HILUX,brown,greendiesel,Johor
2025-01-02,pick_up,TOYOTA,HILUX,red,greendiesel,Terengganu
2025-01-02,pick_up,TOYOTA,HILUX,black,greendiesel,Pahang
2025-01-02,motokar_pelbagai_utiliti,TOYOTA,INNOVA,silver,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,TOYOTA,INNOVA,grey,hybrid_petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,TOYOTA,INNOVA,silver,petrol,Kedah
2025-01-02,motokar_pelbagai_utiliti,TOYOTA,INNOVA,white,petrol,Rakan Niaga
2025-01-02,motokar_pelbagai_utiliti,TOYOTA,INNOVA,grey,petrol,Rakan Niaga
2025-01-02,jip,TOYOTA,LAND CRUISER,white,petrol,Sabah
2025-01-02,jip,TOYOTA,LAND CRUISER,white,petrol,Selangor
2025-01-02,jip,TOYOTA,LAND CRUISER,black,petrol,Sabah
2025-01-02,jip,TOYOTA,LAND CRUISER,white,petrol,W.P. Kuala Lumpur
2025-01-02,jip,TOYOTA,LAND CRUISER,black,petrol,Sarawak
2025-01-02,jip,TOYOTA,LAND CRUISER PRADO,black,diesel,W.P. Kuala Lumpur
2025-01-02,motokar,TOYOTA,SUPRA,white,petrol,Melaka
2025-01-02,motokar,TOYOTA,SUPRA,black,petrol,Rakan Niaga
2025-01-02,motokar,TOYOTA,SUPRA,black,petrol,W.P. Kuala Lumpur
2025-01-02,motokar,TOYOTA,SUPRA,black,petrol,Sarawak
2025-01-02,window_van,TOYOTA,VELLFIRE,white,petrol,Rakan Niaga
2025-01-02,window_van,TOYOTA,VELLFIRE,white,petrol,Johor
2025-01-02,window_van,TOYOTA,VELLFIRE,black,petrol,Rakan Niaga
2025-01-02,window_van,TOYOTA,VELLFIRE,black,petrol,Sarawak
2025-01-02,window_van,TOYOTA,VELLFIRE,black,petrol,Pulau Pinang
